Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AFG,Afghanistan,362,Volume of imports (% change),Percent change,,,,,,,,,,,,,,,,,,,,,,,,34.585,0.844,56.662,-1.924,-9.622,-8.186,28.513,34.258,12.349,30.697,5.177,-15.896,15.562,-8.126,3.298,-1.111,3.751,-0.206,0.969,5.471,2.403,1.44
AFG,Afghanistan,363,Volume of exports (% change),Percent change,,,,,,,,,,,,,,,,,,,,,,,,48.778,-9.071,45.648,-7.403,-11.787,-6.5,29.976,12.521,0.286,-22.443,-38.259,51.723,-11.021,-17.135,-4.594,0.365,5.982,7.79,11.26,9.386,7.754,17.874
AFG,Afghanistan,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,,,,,,,,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.17,20.801,21.937,25.028,24.977,25.402,25.947,25.997,25.878,27.114,26.828,29.083,30.149,31.327,32.732,32.688
AFG,Afghanistan,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,,,,,,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.118,-0.628,0.869,-0.834,-0.002,-0.002,-0.001,-0.001,-0.001
AFG,Afghanistan,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,,,,,,,,-2.393,-0.917,0.684,-2.462,-3.864,-1.761,0.933,-0.573,0.257,-0.544,-1.685,-1.326,0.178,-0.564,0.925,-0.798,0.027,0.035,0.052,0.073,0.091
AFG,Afghanistan,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,,,,,,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.709,7.513,6.769,6.914,8.7,9.133,7.823,7.004,7.079,6.884,7.03,7.263,7.532,7.776,8.057
AFG,Afghanistan,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,,,,,,,,,,,,,,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,1.9,3.5,4.5,5,5,5
AGO,Angola,345,Total investment (% of GDP),% of GDP,43.833,47.545,53.94,44.77,44.648,34.174,34.309,34.021,26.508,26.368,15.167,33.767,57.951,59.457,57.799,62.776,78.017,57.265,79.145,64.748,30.493,30.493,30.493,30.451,30.894,27.557,23.301,25.731,30.804,42.821,28.197,26.424,26.668,26.143,27.5,34.202,27.215,24.13,20.595,19.796,20.016,20.229,20.621,21.047,21.444
AGO,Angola,346,Gross national savings (% of GDP),% of GDP,17.704,15.105,12.419,11.463,14.437,11.788,5.41,14.15,2.68,9.089,5.525,11.375,14.887,14.439,16.134,13.738,24.73,11.413,5.21,0.08,37.618,17.401,27.422,26.017,33.543,41.158,43.429,39.743,37.691,26.329,34.833,37.876,37.228,32.007,29.807,28.491,24.487,23.351,21.906,15.947,18.147,18.359,19.004,19.65,20.219
AGO,Angola,347,"Inflation, average consumer prices",Index,,,,,,,,,,,,,,,,0.001,0.027,0.088,0.183,0.637,2.707,6.838,14.284,28.313,40.637,49.968,56.616,63.551,71.472,81.278,93.047,105.594,116.454,126.681,135.927,148.377,193.92,251.795,301.218,353.821,393.158,424.214,451.585,478.68,507.4
AGO,Angola,352,Population (WEO),Value,8910000,9151000,9393000,9639000,9894000,11149000,11467000,11760000,12079000,12410000,12742000,13124000,13518000,13923000,14341000,14771000,15214000,15671000,16141000,16625000,17124000,17637000,18166000,18711000,19273000,19851000,20446000,21060000,21692000,22342000,23013000,23703000,24414000,25147000,25901000,26681000,27503000,28377000,29250000,30128000,31031000,31962000,32921000,33909000,34926000
AGO,Angola,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,,339000000,754000000,1073000000,10873000000,45484000000,82661000000,207753000000,457154000000,586399000000,854785000000,1288350000000,1908840000000,3498790000000,2510200000000,3034030000000,3927550000000,4548770000000,4888690000000,5222020000000,3773710000000,3648040000000,4822120000000,5334640000000,5841580000000,7036960000000,7675250000000,8305070000000,8952280000000,9705020000000
AGO,Angola,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,60000000,-7000000,-210000000,-2236000000,2567000000,7658000000,-16917000000,-62256000000,23287000000,231059000000,396677000000,215870000000,-281356000000,-440464000000,261463000000,848602000000,505037000000,-40085000000,-819375000000,-406964000000,-748074000000,-1279130000000,652307000000,22105000000,-47005000000,-10338000000,-63912000000,-119646000000,-142212000000
AGO,Angola,356,General government structural balance,National Currency,,,,,,,,,,,,,,,,,,,,,69490000000,93010000000,-160914000000,-142777000000,-5716000000,111130000000,234526000000,94211000000,-77495000000,-132506000000,341078000000,476421000000,116408000000,-178625000000,-746516000000,87652000000,-381150000000,-993142000000,477644000000,-143749000000,-264425000000,-106123000000,-20378000000,31231000000,-9847000000
AGO,Angola,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,153000000,117000000,7000000,-684000000,7540000000,17478000000,-1385000000,-43252000000,61076000000,279643000000,450016000000,269528000000,-158700000000,-337328000000,350999000000,943251000000,610322000000,59020000000,-669879000000,-158494000000,-277674000000,-601776000000,1885670000000,1614230000000,1931980000000,2088460000000,2110270000000,2089730000000,2118590000000
AGO,Angola,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,,,,150141000000,273646000000,490630000000,770358000000,938867000000,1078330000000,788437000000,1053510000000,2084570000000,3140170000000,2862150000000,3103840000000,3262910000000,4374030000000,5702310000000,7964640000000,12521840000000,13888600000000,23901550000000,27988360000000,29161910000000,30776400000000,31797450000000,32734350000000,33575750000000
AGO,Angola,360,Gross domestic product corresponding to fiscal year,National Currency,,,,,,,,,,,,,,,1000000,17000000,1022000000,2143000000,3126000000,21002000000,112118000000,241088000000,665385000000,1328940000000,1967570000000,3222350000000,4209760000000,5006340000000,6643350000000,5577340000000,7701650000000,10500940000000,12224950000000,13195000000000,14323860000000,13950290000000,16549570000000,20262300000000,27134120000000,30941390000000,35233610000000,38624320000000,42157310000000,46174630000000,50803780000000
AGO,Angola,362,Volume of imports (% change),Percent change,-39,17.3,1.7,-2.7,2.2,-9.4,-6.5,-1.5,26.9,-22,-15.8,-3.886,21.141,-19.125,-26.769,27.968,27.764,8.432,-5.44,26.806,3.965,13.854,-6.072,13.358,9.402,37.501,1.07,48.219,45.536,6.096,-21.438,10.415,8.439,9.125,11.238,-21.86,-25.328,0.061,10.201,-9.463,0.782,0.907,4.812,1.169,2.931
AGO,Angola,363,Volume of exports (% change),Percent change,-3,8,-12.9,4.6,12.5,-5.9,-33.8,54.3,7,2.7,14.6,0.186,8.359,-8.275,8.236,12.24,10.698,6.02,2.536,1.426,1.624,-2.578,23.562,-1.931,13.537,28.148,14.255,17.501,10.105,-2.64,-3.266,-5.404,3.838,0.064,-2.115,6.721,-0.662,-4.776,1.308,1.074,0.194,0.366,0.963,0.355,1.758
AGO,Angola,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,,33.197,35.186,34.339,51.772,40.568,34.287,31.223,34.4,29.803,26.527,30.604,38.129,52.666,45.007,39.394,37.402,37.209,37.05,36.457,27.051,22.043,23.798,19.66,18.879,19.972,19.872,19.7,19.388,19.103
AGO,Angola,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,5.907,-0.304,-6.709,-10.645,2.289,3.176,-2.542,-4.685,1.184,7.17,9.423,4.312,-4.235,-7.897,3.395,8.081,4.131,-0.304,-5.72,-2.917,-4.52,-6.313,2.404,0.071,-0.133,-0.027,-0.152,-0.259,-0.28
AGO,Angola,2781,General government structural balance,% of GDP,,,,,,,,,,,,,,,,,,,,,,,-179.894,-14.881,-0.311,4.076,6.437,2.047,-1.378,-1.968,4.28,5.094,1.068,-1.411,-5.091,0.517,-1.943,-4.387,1.836,-0.484,-0.785,-0.28,-0.048,0.066,-0.019
AGO,Angola,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,15.015,5.448,0.227,-3.257,6.725,7.25,-0.208,-3.255,3.104,8.678,10.69,5.384,-2.389,-6.048,4.557,8.983,4.992,0.447,-4.677,-1.136,-1.678,-2.97,6.949,5.217,5.483,5.407,5.006,4.526,4.17
AGO,Angola,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,,,,133.914,113.505,73.736,57.968,47.717,33.464,18.729,21.043,31.378,56.302,37.163,29.558,26.691,33.149,39.81,57.093,75.663,68.544,88.087,90.456,82.767,79.681,75.426,70.892,66.089
AGO,Angola,3092,"Inflation, average consumer prices",Percent change,46.708,1.391,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,1.833,85.265,299.097,1379.48,949.771,2672.23,4146.01,221.492,107.429,248.248,325.029,152.586,108.893,98.219,43.525,22.961,13.305,12.249,12.465,13.721,14.48,13.484,10.285,8.782,7.298,9.159,30.694,29.844,19.629,17.463,11.118,7.899,6.452,6,6
ALB,Albania,345,Total investment (% of GDP),% of GDP,4.85,44.377,47.592,50.658,52.943,46.186,44.293,46.325,45.102,44.823,49.84,9.509,7.438,18.881,25.603,25.746,18.064,16.659,19.743,19.735,30.796,34.989,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.618,27.347,26.075,24.986,23.505,22.861,22.838,22.784,22.573,22.229,21.935,21.579
ALB,Albania,346,Gross national savings (% of GDP),% of GDP,27.121,39.852,41.023,44.479,46.845,40.83,40.314,42.435,40.026,38.061,41.016,-8.026,9.426,23.388,21.832,21.481,16.07,10.2,16.235,17.803,23.768,28.703,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,16.692,13.172,15.761,16.966,17.43,17.906,17.88,18.103,17.731,17.247,16.727,16.257
ALB,Albania,347,"Inflation, average consumer prices",Index,,,,,,,,,,3.391,3.385,4.594,14.976,27.706,33.958,36.605,41.266,54.953,66.298,66.556,66.582,68.66,72.231,73.938,76.058,77.855,79.7,82.059,84.775,86.667,89.8,92.892,94.783,96.608,98.167,100,101.282,103.295,105.39,107.498,110.077,113.16,116.554,120.051,123.653
ALB,Albania,352,Population (WEO),Value,2672000,2726000,2784000,2844000,2904000,2965000,3023000,3084000,3142000,3228000,3287000,3267000,3247000,3227000,3208000,3188000,3168000,3148000,3129000,3109000,3089000,3060000,3051000,3040000,3027000,3011000,2993000,2970000,2947000,2928000,2913000,2905000,2900000,2895000,2889000,2881000,2876000,2876000,2874000,2870000,2865000,2861000,2856000,2851000,2847000
ALB,Albania,354,General government total expenditure,National Currency,,,,,,,,,,,,,,,,,,100391000000,141437000000,164607000000,169596000000,184163000000,192517000000,201152000000,222439000000,232339000000,254762000000,282987000000,342860000000,373832000000,364290000000,376183000000,376241000000,394117000000,442717000000,435698000000,429073000000,451989000000,477971000000,513359000000,542582000000,574108000000,611120000000,648761000000,689429000000
ALB,Albania,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,-39434000000,-38198000000,-39220000000,-38954000000,-38524000000,-37922000000,-33928000000,-38083000000,-27806000000,-28479000000,-30695000000,-52782000000,-75345000000,-43637000000,-45734000000,-45857000000,-70408000000,-76148000000,-58153000000,-25941000000,-21592000000,-28752000000,-35319000000,-35921000000,-38240000000,-41235000000,-42450000000,-43817000000
ALB,Albania,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,,,,,,,-21284000000,-3320000000,-5006000000,-9381000000,-14904000000,-13159000000,-4105000000,-9660000000,-1777000000,-3474000000,-5166000000,-21476000000,-39044000000,-2033000000,-4611000000,-4359000000,-27073000000,-36073000000,-19510000000,10318000000,10312000000,7761000000,2669000000,3832000000,3132000000,3590000000,7466000000,8120000000
ALB,Albania,358,General government net debt,National Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756420000000,807380000000,921361000000,914430000000,986827000000,1003790000000,988849000000,973794000000,1005250000000,1027630000000,1051330000000,1079790000000,1113100000000,1191260000000
ALB,Albania,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,239197000000,273949000000,302454000000,319608000000,341522000000,391308000000,408300000000,423962000000,468050000000,494737000000,517043000000,595883000000,682547000000,715517000000,772735000000,828268000000,950316000000,1004510000000,1057320000000,1079690000000,1114760000000,1131170000000,1138090000000,1177820000000,1199820000000,1247680000000,1281040000000,1368740000000
ALB,Albania,360,Gross domestic product corresponding to fiscal year,National Currency,18489000000,19126000000,19698000000,19900000000,19645000000,20065000000,20692000000,20531000000,20238000000,22228000000,20006000000,19519000000,63341000000,149142000000,223571000000,267424000000,334359000000,331324000000,384848000000,443594000000,501199000000,563449000000,610494000000,677738000000,737656000000,804163000000,872735000000,965528000000,1080680000000,1143940000000,1239650000000,1300620000000,1332810000000,1352200000000,1392410000000,1431140000000,1473230000000,1551050000000,1649170000000,1747540000000,1860370000000,1987960000000,2132140000000,2286380000000,2451830000000
ALB,Albania,362,Volume of imports (% change),Percent change,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,-9.901,28.907,38.743,-3.432,23.272,11.868,8.409,10.704,8.434,5.37,18.938,11.845,-2.358,-8.558,3.468,-7.44,-8.717,5.374,0.154,8.489,5.883,3.289,5.194,4.832,5.316,5.458,5.384,5.639
ALB,Albania,363,Volume of exports (% change),Percent change,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,,-19.051,24.363,88.951,16.254,23.9,3.878,9.51,20.63,6.026,12.612,16.999,15.351,0.754,10.279,1.765,-2.221,-9.908,3.295,5.284,10.389,10.139,2.773,4.927,5.842,4.794,4.562,4.669,5.013
ALB,Albania,2777,General government total expenditure,% of GDP,,,,,,,,,,,,,,,,,,30.3,36.751,37.108,33.838,32.685,31.535,29.68,30.155,28.892,29.191,29.309,31.726,32.679,29.387,28.923,28.229,29.146,31.795,30.444,29.125,29.141,28.982,29.376,29.165,28.879,28.662,28.375,28.119
ALB,Albania,2779,General government net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,-11.902,-9.926,-8.841,-7.772,-6.837,-6.212,-5.006,-5.163,-3.458,-3.263,-3.179,-4.884,-6.586,-3.52,-3.516,-3.441,-5.207,-5.469,-4.063,-1.761,-1.392,-1.743,-2.021,-1.931,-1.924,-1.934,-1.857,-1.787
ALB,Albania,2783,General government primary net lending/borrowing,% of GDP,,,,,,,,,,,,,,,,,,-6.424,-0.863,-1.129,-1.872,-2.645,-2.155,-0.606,-1.31,-0.221,-0.398,-0.535,-1.987,-3.413,-0.164,-0.355,-0.327,-2.002,-2.591,-1.363,0.7,0.665,0.471,0.153,0.206,0.158,0.168,0.327,0.331
ALB,Albania,2785,General government net debt,% of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.158,60.577,68.138,65.672,68.954,68.135,63.754,59.047,57.524,55.238,52.885,50.643,48.684,48.587
ALB,Albania,2787,General government gross debt,% of GDP,,,,,,,,,,,,,,,,,,72.194,71.184,68.183,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.279,72.142,73.88,73.287,71.871,68.59,65.125,63.311,60.355,58.517,56.029,55.825
ALB,Albania,3092,"Inflation, average consumer prices",Percent change,,,,,,,,,,,-0.18,35.717,225.996,85.005,22.565,7.794,12.734,33.167,20.646,0.389,0.039,3.12,5.202,2.363,2.867,2.363,2.37,2.96,3.31,2.231,3.615,3.443,2.036,1.925,1.613,1.868,1.282,1.987,2.029,1.999,2.4,2.8,3,3,3
ALB,Albania,3296,Unemployment rate (% of total labor force) (WEO),%,5.028,4.224,2.813,3.335,4.41,5.853,5.43,5.164,6.033,6.721,8.457,8.9,26.5,22.3,18.4,12.9,12.3,14.9,17.7,18.4,16.8,16.44,15.751,15,14.4,14.1,13.8,13.4,13.1,13.8,14,14,13.4,16,17.5,17.1,15.2,13.756,12.2,13.719,13.225,13.048,13.331,13.201,13.193
ARE,United Arab Emirates,345,Total investment (% of GDP),% of GDP,28.419,26.277,28.75,31.401,28.978,24.97,30.151,24.038,25.644,23.602,19.852,23.246,25.415,23.59,27.724,28.062,23.908,24.166,24.326,23.427,22.608,22.502,22.546,22.13,19.978,20.167,19.271,25.199,25.098,31.633,27.082,23.358,22.019,19.8,21.792,25.764,27.143,21.59,22.648,23.638,23.05,22.821,22.582,22.257,22.333
ARE,United Arab Emirates,346,Gross national savings (% of GDP),% of GDP,45.757,43.159,37.663,36.592,40.707,36.735,30.037,29.037,26.498,27.605,36.031,25.972,29.77,29.29,27.774,28.231,30.038,35.573,28.372,29.997,38.772,31.575,25.863,27.914,26.41,33.337,36.594,33.05,32.16,34.729,31.258,36.003,41.767,38.802,35.308,30.666,30.85,28.508,29.248,29.572,28.179,27.2,26.531,26.046,25.829
ARE,United Arab Emirates,347,"Inflation, average consumer prices",Index,66.7,72,77.1,78.1,80,82.8,87.3,92.1,96.7,99.4,100,103.4,110,115.8,122.4,127.7,131.5,135.4,138.1,141,142.9,146.901,151.188,155.904,163.763,173.909,190.057,211.206,237.124,240.828,242.942,245.074,246.697,249.413,255.265,265.654,269.951,275.261,283.739,289.798,295.757,301.947,308.331,314.762,321.766
ARE,United Arab Emirates,352,Population (WEO),Value,1010000,1100000,1170000,1210000,1310000,1380000,1440000,1500000,1790000,1860000,1844000,1928000,2011000,2083000,2230000,2411000,2443000,2580000,2834000,3033000,2995000,3167000,3349000,3551000,3761000,4106000,5012000,6219000,8074000,8200000,8264000,8512000,8768000,9031000,9302000,9581000,9856000,10139000,10430000,10749000,11077000,11416000,11765000,12125000,12496000
ARE,United Arab Emirates,354,General government total expenditure,National Currency,,,,,,,,,,,,65087000000,56384000000,60281000000,63478000000,60879000000,73825000000,63915000000,71470000000,75276000000,82407000000,95720000000,86035000000,91561000000,96131000000,104431000000,127475000000,167224000000,254308000000,325875000000,343013000000,401430000000,400893000000,434489000000,490458000000,425612000000,404946000000,427319000000,471178000000,493004000000,504561000000,504322000000,514205000000,522122000000,531118000000
ARE,United Arab Emirates,355,General government net lending/borrowing,National Currency,,,,,,,,,,,,7040000000,6365000000,-5524000000,-3758000000,8342000000,2452000000,19013000000,2754000000,4049000000,40319000000,4573000000,-4992000000,10739000000,34743000000,106045000000,164368000000,162195000000,204343000000,-57048000000,5862000000,68457000000,123888000000,120272000000,28293000000,-44236000000,-26467000000,-22906000000,-27643000000,-13227000000,-28019000000,-11010000000,-3001000000,6193000000,9759000000
ARE,United Arab Emirates,357,General government primary net lending/borrowing,National Currency,,,,,,,,,,,,9859000000,6866000000,-5494000000,-3757000000,8351000000,2470000000,19014000000,2758000000,4053000000,40575000000,4926000000,-4879000000,10760000000,35045000000,106290000000,164380000000,162261000000,204725000000,-55402000000,9335000000,70823000000,128208000000,126180000000,32368000000,-41445000000,-24482000000,-20981000000,-23633000000,-8481000000,-22776000000,-5657000000,2465000000,11772000000,15463000000
ARE,United Arab Emirates,359,General government gross debt,National Currency,,,,,,,,,,,,,,,,,,,,14654000000,11800000000,10205000000,14497000000,20110000000,30619000000,43988000000,55808000000,74379000000,145196000000,224255000000,233593000000,224656000000,233674000000,225776000000,230065000000,245822000000,265091000000,277440000000,291154000000,301730000000,312692000000,321605000000,331008000000,340940000000,351461000000
